University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country
University of Pécs,Hungary,university of pecs,https://openalex.org/I79741316,University of Pecs,"[""P\u00e9csi Tudom\u00e1nyegyetem""]",HU,Hungary
University of Pennsylvania,United States,university of pennsylvania,https://openalex.org/I79576946,University of Pennsylvania,"[""UPenn""]",US,United States
University of Perugia,Italy,university of perugia,https://openalex.org/I27483092,University of Perugia,[],IT,Italy
University of Pisa,Italy,university of pisa,https://openalex.org/I108290504,University of Pisa,[],IT,Italy
University of Pittsburgh,United States,university of pittsburgh,https://openalex.org/I170201317,University of Pittsburgh,[],US,United States
University of Plymouth,United Kingdom,university of plymouth,https://openalex.org/I897542642,University of Plymouth,[],GB,United Kingdom
University of Poitiers,France,university of poitiers,https://openalex.org/I32881790,University of Poitiers,[],FR,France
University of Porto,Portugal,university of porto,https://openalex.org/I182534213,University of Porto,"[""U.Porto""]",PT,Portugal
University of Portsmouth,United Kingdom,university of portsmouth,https://openalex.org/I63072094,University of Portsmouth,[],GB,United Kingdom
University of Potsdam,Germany,university of potsdam,https://openalex.org/I176453806,University of Potsdam,[],DE,Germany
University of Pretoria,South Africa,university of pretoria,https://openalex.org/I69552723,University of Pretoria,"[""Universiteit van Pretoria""]",ZA,South Africa
University of Queensland,Australia,university of queensland,https://openalex.org/I165143802,University of Queensland,[],AU,Australia
University of Reading,United Kingdom,university of reading,https://openalex.org/I71052956,University of Reading,[],GB,United Kingdom
University of Regina,Canada,university of regina,https://openalex.org/I194028371,University of Regina,"[""Regina College"", ""Regina Campus of the University of Saskatchewan""]",CA,Canada
University of Rennes 1,France,university of rennes 1,https://openalex.org/I56067802,University of Rennes 1,[],FR,France
University of Rhode Island,United States,university of rhode island,https://openalex.org/I17626003,University of Rhode Island,[],US,United States
University of Rochester,United States,university of rochester,https://openalex.org/I5388228,University of Rochester,[],US,United States
University of Rome Tor Vergata,Italy,university of rome tor vergata,https://openalex.org/I116067653,University of Rome Tor Vergata,"[""University of Rome II""]",IT,Italy
University of Rostock,Germany,university of rostock,https://openalex.org/I4665924,University of Rostock,"[""Rostock University""]",DE,Germany
University of Rouen,France,university of rouen,https://openalex.org/I62396329,University of Rouen,[],FR,France
University of Salamanca,Spain,university of salamanca,https://openalex.org/I184999862,University of Salamanca,[],ES,Spain
University of Salerno,Italy,university of salerno,https://openalex.org/I131729948,University of Salerno,[],IT,Italy
University of Salzburg,Austria,university of salzburg,https://openalex.org/I182212641,University of Salzburg,"[""Paris Lodron University of Salzburg""]",AT,Austria
University of Santiago de Compostela,Spain,university of santiago de compostela,https://openalex.org/I200284239,University of Santiago de Compostela,[],ES,Spain
University of Saskatchewan,Canada,university of saskatchewan,https://openalex.org/I32625721,University of Saskatchewan,[],CA,Canada
University of Sassari,Italy,university of sassari,https://openalex.org/I159650629,University of Sassari,[],IT,Italy
University of Science and Technology Beijing,China,university of science and technology beijing,https://openalex.org/I92403157,University of Science and Technology Beijing,"[""Beijing Steel and Iron Institute""]",CN,China
University of Science and Technology of China,China,university of science and technology of china,https://openalex.org/I126520041,University of Science and Technology of China,[],CN,China
University of Seoul,South Korea,university of seoul,https://openalex.org/I124633538,University of Seoul,[],KR,South Korea
University of Seville,Spain,university of seville,https://openalex.org/I79238269,University of Seville,[],ES,Spain
University of Sfax,Tunisia,university of sfax,https://openalex.org/I142899784,University of Sfax,[],TN,Tunisia
University of Shahrood,Iran,university of shahrood,https://openalex.org/I176861719,University of Shahrood,"[""Shahrood University of Technology""]",IR,Iran
University of Shanghai for Science and Technology,China,university of shanghai for science and technology,https://openalex.org/I148128674,University of Shanghai for Science and Technology,[],CN,China
University of Siena,Italy,university of siena,https://openalex.org/I102064193,University of Siena,[],IT,Italy
University of South Australia,Australia,university of south australia,https://openalex.org/I170239107,University of South Australia,"[""UniSA""]",AU,Australia
University of South China,China,university of south china,https://openalex.org/I91935597,University of South China,[],CN,China
University of Southampton,United Kingdom,university of southampton,https://openalex.org/I43439940,University of Southampton,[],GB,United Kingdom
University of Southern California,United States,university of southern california,https://openalex.org/I1174212,University of Southern California,[],US,United States
University of Southern Denmark,Denmark,university of southern denmark,https://openalex.org/I177969490,University of Southern Denmark,"[""South Danish University""]",DK,Denmark
University of St Andrews,United Kingdom,university of st andrews,https://openalex.org/I16835326,University of St Andrews,"[""St Andrews University""]",GB,United Kingdom
University of Stavanger,Norway,university of stavanger,https://openalex.org/I92008406,University of Stavanger,"[""Universitetet i Stavanger""]",NO,Norway
University of Stirling,United Kingdom,university of stirling,https://openalex.org/I12093191,University of Stirling,[],GB,United Kingdom
University of Strasbourg,France,university of strasbourg,https://openalex.org/I68947357,University of Strasbourg,[],FR,France
University of Strathclyde,United Kingdom,university of strathclyde,https://openalex.org/I181647926,University of Strathclyde,[],GB,United Kingdom
University of Stuttgart,Germany,university of stuttgart,https://openalex.org/I100066346,University of Stuttgart,[],DE,Germany
University of Surrey,United Kingdom,university of surrey,https://openalex.org/I28290843,University of Surrey,[],GB,United Kingdom
University of Sussex,United Kingdom,university of sussex,https://openalex.org/I162608824,University of Sussex,[],GB,United Kingdom
University of Sydney,Australia,university of sydney,https://openalex.org/I129604602,University of Sydney,"[""Sydney University""]",AU,Australia
University of Szeged,Hungary,university of szeged,https://openalex.org/I227486990,University of Szeged,"[""Szegedi Tudom\u00e1nyegyetem""]",HU,Hungary
University of Tabriz,Iran,university of tabriz,https://openalex.org/I41832843,University of Tabriz,[],IR,Iran
University of Tartu,Estonia,university of tartu,https://openalex.org/I56085075,University of Tartu,"[""Tartu \u00dclikool""]",EE,Estonia
University of Tasmania,Australia,university of tasmania,https://openalex.org/I129801699,University of Tasmania,[],AU,Australia
"University of Technology, Sydney",Australia,university of technology sydney,https://openalex.org/I114017466,University of Technology Sydney,[],AU,Australia
University of Tehran,Iran,university of tehran,https://openalex.org/I23946033,University of Tehran,"[""Tehran University""]",IR,Iran
University of the Balearic Islands,Spain,university of the balearic islands,https://openalex.org/I50441567,University of the Balearic Islands,"[""Universitat de les Illes Balears""]",ES,Spain
University of the Basque Country,Spain,university of the basque country,https://openalex.org/I169108374,University of the Basque Country,"[""Euskal Herriko Unibertsitatea""]",ES,Spain
University of the Free State,South Africa,university of the free state,https://openalex.org/I26999989,University of the Free State,[],ZA,South Africa
University of the Punjab,Pakistan,university of the punjab,https://openalex.org/I172780181,University of the Punjab,"[""Punjab University""]",PK,Pakistan
University of the Sunshine Coast,Australia,university of the sunshine coast,https://openalex.org/I174025329,University of the Sunshine Coast,[],AU,Australia
University of the Witwatersrand,South Africa,university of the witwatersrand,https://openalex.org/I192619145,University of the Witwatersrand,"[""Wits University""]",ZA,South Africa
University of Thessaly,Greece,university of thessaly,https://openalex.org/I145722265,University of Thessaly,[],GR,Greece
University of Toledo,United States,university of toledo,https://openalex.org/I90871651,University of Toledo,[],US,United States
University of Toronto,Canada,university of toronto,https://openalex.org/I185261750,University of Toronto,[],CA,Canada
University of Toyama,Japan,university of toyama,https://openalex.org/I42766147,University of Toyama,"[""Toyama Daigaku""]",JP,Japan
University of Trento,Italy,university of trento,https://openalex.org/I193223587,University of Trento,[],IT,Italy
University of Trieste,Italy,university of trieste,https://openalex.org/I142444530,University of Trieste,[],IT,Italy
University of Tsukuba,Japan,university of tsukuba,https://openalex.org/I146399215,University of Tsukuba,"[""Tsukuba daigaku""]",JP,Japan
University of Turin,Italy,university of turin,https://openalex.org/I55143463,University of Turin,[],IT,Italy
University of Turku,Finland,university of turku,https://openalex.org/I155660961,University of Turku,"[""Turun yliopisto"", ""\u00c5bo universitet""]",FI,Finland
University of Twente,Netherlands,university of twente,https://openalex.org/I94624287,University of Twente,[],NL,Netherlands
University of Udine,Italy,university of udine,https://openalex.org/I129043915,University of Udine,[],IT,Italy
University of Ulsan,South Korea,university of ulsan,https://openalex.org/I40542001,University of Ulsan,[],KR,South Korea
University of Ulster,United Kingdom,university of ulster,https://openalex.org/I138801177,University of Ulster,[],GB,United Kingdom
University of Utah,United States,university of utah,https://openalex.org/I223532165,University of Utah,"[""University of Deseret""]",US,United States
University of Valencia,Spain,university of valencia,https://openalex.org/I16097986,University of Valencia,"[""Universitat de Val\u00e8ncia""]",ES,Spain
University of Valladolid,Spain,university of valladolid,https://openalex.org/I108103353,University of Valladolid,[],ES,Spain
University of Vermont,United States,university of vermont,https://openalex.org/I111236770,University of Vermont,"[""University of Vermont and State Agricultural College""]",US,United States
University of Verona,Italy,university of verona,https://openalex.org/I119439378,University of Verona,[],IT,Italy
University of Veterinary Medicine Vienna,Austria,university of veterinary medicine vienna,https://openalex.org/I150540706,University of Veterinary Medicine Vienna,[],AT,Austria
University of Victoria,Canada,university of victoria,https://openalex.org/I212119943,University of Victoria,"[""Victoria College""]",CA,Canada
University of Vienna,Austria,university of vienna,https://openalex.org/I129774422,University of Vienna,[],AT,Austria
University of Virginia,United States,university of virginia,https://openalex.org/I51556381,University of Virginia,[],US,United States
University of Waikato,New Zealand,university of waikato,https://openalex.org/I52179390,University of Waikato,"[""Te Whare W\u0101nanga o Waikato""]",NZ,New Zealand
University of Warmia and Mazury in Olsztyn,Poland,university of warmia and mazury in olsztyn,https://openalex.org/I47996466,University of Warmia and Mazury in Olsztyn,"[""Uniwersytet Warmi\u0144sko-Mazurski w Olsztynie""]",PL,Poland
University of Warsaw,Poland,university of warsaw,https://openalex.org/I4654613,University of Warsaw,"[""Uniwersytet Warszawski""]",PL,Poland
University of Waterloo,Canada,university of waterloo,https://openalex.org/I151746483,University of Waterloo,"[""UWaterloo""]",CA,Canada
University of Western Australia,Australia,university of western australia,https://openalex.org/I177877127,University of Western Australia,[],AU,Australia
University of Western Brittany,France,university of western brittany,https://openalex.org/I161929037,University of Western Brittany,[],FR,France
University of Windsor,Canada,university of windsor,https://openalex.org/I74413500,University of Windsor,"[""UWindsor"", ""Assumption University of Windsor""]",CA,Canada
University of Wollongong,Australia,university of wollongong,https://openalex.org/I204824540,University of Wollongong,"[""Wollongong University""]",AU,Australia
University of Wrocław,Poland,university of wroclaw,https://openalex.org/I219388962,University of Wrocław,"[""Uniwersytet Wroc\u0142awski""]",PL,Poland
University of Wyoming,United States,university of wyoming,https://openalex.org/I12834331,University of Wyoming,[],US,United States
University of Yamanashi,Japan,university of yamanashi,https://openalex.org/I66906201,University of Yamanashi,"[""Yamanashi Daigaku""]",JP,Japan
University of York,United Kingdom,university of york,https://openalex.org/I52099693,University of York,[],GB,United Kingdom
University of Zagreb,Croatia,university of zagreb,https://openalex.org/I181343428,University of Zagreb,"[""Universitas Studiorum Zagrabiensis""]",HR,Croatia
University of Zanjan,Iran,university of zanjan,https://openalex.org/I99861883,University of Zanjan,"[""D\u0101neshg\u0101h-e Zanjan""]",IR,Iran
University of Zaragoza,Spain,university of zaragoza,https://openalex.org/I255234318,University of Zaragoza,"[""Saragossa University"", ""Ecclesiastical Schools""]",ES,Spain
University of Zurich,Switzerland,university of zurich,https://openalex.org/I202697423,University of Zurich,[],CH,Switzerland
Uppsala University,Sweden,uppsala university,https://openalex.org/I123387679,Uppsala University,"[""Uppsala universitet""]",SE,Sweden
Ural Federal University,Russia,ural federal university,https://openalex.org/I130823665,Ural Federal University,"[""Ural Federal University named after the first President of Russia B. N. Yeltsin""]",RU,Russia
Urmia University,Iran,urmia university,https://openalex.org/I38476204,Urmia University,"[""University of Urmia""]",IR,Iran
Utah State University,United States,utah state university,https://openalex.org/I121980950,Utah State University,[],US,United States
Utrecht University,Netherlands,utrecht university,https://openalex.org/I193662353,Utrecht University,"[""Rijksuniversiteit Utrecht""]",NL,Netherlands
Vanderbilt University,United States,vanderbilt university,https://openalex.org/I200719446,Vanderbilt University,"[""Vandy""]",US,United States
Victoria University of Wellington,New Zealand,victoria university of wellington,https://openalex.org/I41156924,Victoria University of Wellington,[],NZ,New Zealand
Vilnius University,Lithuania,vilnius university,https://openalex.org/I173212132,Vilnius University,"[""Vilniaus universitetas""]",LT,Lithuania
Virginia Commonwealth University,United States,virginia commonwealth university,https://openalex.org/I184840846,Virginia Commonwealth University,[],US,United States
Vita-Salute San Raffaele University,Italy,vita-salute san raffaele university,https://openalex.org/I154387261,Vita-Salute San Raffaele University,[],IT,Italy
Vrije Universiteit Brussel,Belgium,vrije universiteit brussel,https://openalex.org/I13469542,Vrije Universiteit Brussel,[],BE,Belgium
Wageningen University & Research,Netherlands,wageningen university and research,https://openalex.org/I913481162,Wageningen University & Research,"[""Wageningen University and Research Centre"", ""Wageningen Universiteit en Researchcentrum""]",NL,Netherlands
Wake Forest University,United States,wake forest university,https://openalex.org/I47251452,Wake Forest University,[],US,United States
Warsaw University of Life Sciences,Poland,warsaw university of life sciences,https://openalex.org/I170230895,Warsaw University of Life Sciences,"[""Szko\u0142a G\u0142\u00f3wna Gospodarstwa Wiejskiego""]",PL,Poland
Warsaw University of Technology,Poland,warsaw university of technology,https://openalex.org/I108403487,Warsaw University of Technology,"[""Politechnika Warszawska""]",PL,Poland
Waseda University,Japan,waseda university,https://openalex.org/I150744194,Waseda University,"[""Waseda Daigaku""]",JP,Japan
Washington State University,United States,washington state university,https://openalex.org/I72951846,Washington State University,[],US,United States
Washington University in St. Louis,United States,washington university in st. louis,https://openalex.org/I204465549,Washington University in St. Louis,[],US,United States
Wayne State University,United States,wayne state university,https://openalex.org/I185443292,Wayne State University,[],US,United States
Weizmann Institute of Science,Israel,weizmann institute of science,https://openalex.org/I53964585,Weizmann Institute of Science,"[""Machon Weizmann LeMada""]",IL,Israel
Wenzhou Medical University,China,wenzhou medical university,https://openalex.org/I27781120,Wenzhou Medical University,"[""Wenzhou Yike Daxue""]",CN,China
Wenzhou University,China,wenzhou university,https://openalex.org/I146620803,Wenzhou University,[],CN,China
West Virginia University,United States,west virginia university,https://openalex.org/I12097938,West Virginia University,[],US,United States
Western Sydney University,Australia,western sydney university,https://openalex.org/I63525965,Western Sydney University,"[""University of Western Sydney""]",AU,Australia
Western University,Canada,western university,https://openalex.org/I125749732,Western University,"[""University of Western Ontario""]",CA,Canada
Wrocław Medical University,Poland,wroclaw medical university,https://openalex.org/I385303915,Wrocław Medical University,"[""Uniwersytet Medyczny we Wroc\u0142awiu"", ""Universitas Medicus Vratislaviensis"", ""Uniwersytet Medyczny im Piast\u00f3w \u015al\u0105skich we Wroc\u0142awiu""]",PL,Poland
Wroclaw University of Environmental and Life Sciences,Poland,wroclaw university of environmental and life sciences,https://openalex.org/I27912750,Wroclaw University of Environmental and Life Sciences,[],PL,Poland
Wrocław University of Science and Technology,Poland,wroclaw university of science and technology,https://openalex.org/I11923345,Wrocław University of Science and Technology,[],PL,Poland
Wuhan Institute of Technology,China,wuhan institute of technology,https://openalex.org/I91125648,Wuhan Institute of Technology,"[""W\u01d4h\u00e0n G\u014dngch\u00e9ng D\u00e0xu\u00e9"", ""Hubei Petrochemical Institute""]",CN,China
Wuhan University,China,wuhan university,https://openalex.org/I37461747,Wuhan University,[],CN,China
Wuhan University of Science and Technology,China,wuhan university of science and technology,https://openalex.org/I43922553,Wuhan University of Science and Technology,[],CN,China
Wuhan University of Technology,China,wuhan university of technology,https://openalex.org/I196699116,Wuhan University of Technology,[],CN,China
Xiamen University,China,xiamen university,https://openalex.org/I191208505,Xiamen University,"[""Xi\u00e0m\u00e9n D\u00e0xu\u00e9""]",CN,China
Xi'an Jiaotong University,China,xi'an jiaotong university,https://openalex.org/I87445476,Xi'an Jiaotong University,"[""Xi'an Jiao Tong University"", ""Xian Jiaotong University""]",CN,China
Xi'an University of Architecture and Technology,China,xi'an university of architecture and technology,https://openalex.org/I148099405,Xi'an University of Architecture and Technology,[],CN,China
Xi'An University of Technology,China,xi'an university of technology,https://openalex.org/I4210131919,Xi'an University of Technology,[],CN,China
Xiangtan University,China,xiangtan university,https://openalex.org/I4610292,Xiangtan University,"[""Xi\u0101ngt\u00e1n D\u00e0xu\u00e9""]",CN,China
Xidian University,China,xidian university,https://openalex.org/I149594827,Xidian University,"[""University of Electronic Science and Technology at Xi'an "", ""X\u012b\u0101n Di\u00e0nz\u01d0 K\u0113j\u00ec D\u00e0xu\u00e9""]",CN,China
Xinjiang Medical University,China,xinjiang medical university,https://openalex.org/I154093214,Xinjiang Medical University,"[""Xinjiang Medical College"", ""Shinjang Tibbiy Universitet""]",CN,China
Xinjiang University,China,xinjiang university,https://openalex.org/I96908189,Xinjiang University,"[""X\u012bnji\u0101ng D\u00e0xu\u00e9""]",CN,China
Xinxiang Medical University,China,xinxiang medical university,https://openalex.org/I80626142,Xinxiang Medical University,[],CN,China
Xuzhou Medical College,China,xuzhou medical college,https://openalex.org/I177388780,Xuzhou Medical College,"[""X\u00fazh\u014du y\u012b xu\u00e9yu\u00e0n""]",CN,China
Yale University,United States,yale university,https://openalex.org/I32971472,Yale University,"[""Collegiate School"", ""Yale College""]",US,United States
Yamagata University,Japan,yamagata university,https://openalex.org/I112524849,Yamagata University,"[""Yamagata daigaku""]",JP,Japan
Yamaguchi University,Japan,yamaguchi university,https://openalex.org/I173915773,Yamaguchi University,"[""Yamaguchi daigaku""]",JP,Japan
Yangtze University,China,yangtze university,https://openalex.org/I177739611,Yangtze University,[],CN,China
Yangzhou University,China,yangzhou university,https://openalex.org/I78978612,Yangzhou University,[],CN,China
Yanshan University,China,yanshan university,https://openalex.org/I39333907,Yanshan University,"[""Y\u0101nsh\u0101n d\u00e0xu\u00e9""]",CN,China
Yazd University,Iran,yazd university,https://openalex.org/I112536369,Yazd University,[],IR,Iran
Yeshiva University,United States,yeshiva university,https://openalex.org/I19772626,Yeshiva University,[],US,United States
Yeungnam University,South Korea,yeungnam university,https://openalex.org/I55240360,Yeungnam University,[],KR,South Korea
Yıldız Technical University,Turkey,yildiz technical university,https://openalex.org/I4101805,Yıldız Technical University,"[""Y\u0131ld\u0131z Teknik \u00dcniversitesi""]",TR,Turkey
Yokohama City University,Japan,yokohama city university,https://openalex.org/I89630735,Yokohama City University,"[""Yokohama Shiritsu Daigaku""]",JP,Japan
Yokohama National University,Japan,yokohama national university,https://openalex.org/I180203408,Yokohama National University,"[""Yokohama Kokuritsu Daigaku""]",JP,Japan
Yonsei University,South Korea,yonsei university,https://openalex.org/I193775966,Yonsei University,[],KR,South Korea
York University,Canada,york university,https://openalex.org/I192455969,York University,[],CA,Canada
Yunnan University,China,yunnan university,https://openalex.org/I189210763,Yunnan University,"[""University of the Eastern Land""]",CN,China
Yüzüncü Yıl University,Turkey,yuzuncu yil university,https://openalex.org/I118567650,Yüzüncü Yıl University,[],TR,Turkey
Zagazig University,Egypt,zagazig university,https://openalex.org/I192398990,Zagazig University,[],EG,Egypt
Zhejiang Chinese Medical University,China,zhejiang chinese medical university,https://openalex.org/I114539943,Zhejiang Chinese Medical University,[],CN,China
Zhejiang Gongshang University,China,zhejiang gongshang university,https://openalex.org/I75059550,Zhejiang Gongshang University,"[""Zh\u00e8ji\u0101ng G\u014dngsh\u0101ng D\u00e0xu\u00e9""]",CN,China
Zhejiang Normal University,China,zhejiang normal university,https://openalex.org/I135237710,Zhejiang Normal University,[],CN,China
Zhejiang Sci-Tech University,China,zhejiang sci-tech university,https://openalex.org/I1328775524,Zhejiang Sci-Tech University,[],CN,China
Zhejiang University,China,zhejiang university,https://openalex.org/I76130692,Zhejiang University,"[""Chekiang University"", ""Zheda""]",CN,China
Zhejiang University of Technology,China,zhejiang university of technology,https://openalex.org/I55712492,Zhejiang University of Technology,"[""Zh\u00e8ji\u0101ng G\u014dngy\u00e8 D\u00e0x\u00fae""]",CN,China
Zhengzhou University,China,zhengzhou university,https://openalex.org/I38877650,Zhengzhou University,[],CN,China
Medical University of Łódź,Poland,medical university of lodz,https://openalex.org/I866987647,Medical University of Łódź,[],PL,NA
University of Rennes 1,France,university of rennes 1,https://openalex.org/I3123023596,University of Rennes 1,[],FR,NA
