University,Country,university_normalized,id,display_name,display_name_alternatives,country_code,country
Sharif University of Technology,Iran,sharif university of technology,https://openalex.org/I133529467,Sharif University of Technology,"[""D\u0101neshg\u0101h-e San'ati-ye Sharif"", ""Aryamehr University of Industry""]",IR,Iran
Shenyang Agricultural University,China,shenyang agricultural university,https://openalex.org/I135836153,Shenyang Agricultural University,"[""Sh\u011bny\u00e1ng N\u00f3ngy\u00e8 D\u00e0xu\u00e9""]",CN,China
Shenyang Pharmaceutical University,China,shenyang pharmaceutical university,https://openalex.org/I103890011,Shenyang Pharmaceutical University,"[""Sh\u011bny\u00e1ng Y\u00e0o K\u0113 D\u00e0xu\u00e9""]",CN,China
Shenzhen University,China,shenzhen university,https://openalex.org/I180726961,Shenzhen University,[],CN,China
Shihezi University,China,shihezi university,https://openalex.org/I102208913,Shihezi University,[],CN,China
Shimane University,Japan,shimane university,https://openalex.org/I169016828,Shimane University,"[""Shimane Daigaku""]",JP,Japan
Shinshu University,Japan,shinshu university,https://openalex.org/I137975476,Shinshu University,[],JP,Japan
Shiraz University,Iran,shiraz university,https://openalex.org/I166459259,Shiraz University,"[""D\u0101neshg\u0101h-e-Shir\u0101z"", ""Pahlavi University""]",IR,Iran
Shizuoka University,Japan,shizuoka university,https://openalex.org/I1298590031,Shizuoka University,"[""Shizuoka Daigaku"", ""Shizudai""]",JP,Japan
Sichuan Agricultural University,China,sichuan agricultural university,https://openalex.org/I37574244,Sichuan Agricultural University,[],CN,China
Sichuan University,China,sichuan university,https://openalex.org/I24185976,Sichuan University,"[""S\u00ecchu\u0101n D\u00e0xu\u00e9""]",CN,China
Silesian University of Technology,Poland,silesian university of technology,https://openalex.org/I119004910,Silesian University of Technology,"[""Politechnika \u015al\u0105ska""]",PL,Poland
Simon Fraser University,Canada,simon fraser university,https://openalex.org/I18014758,Simon Fraser University,[],CA,Canada
Singapore University of Technology and Design,Singapore,singapore university of technology and design,https://openalex.org/I152815399,Singapore University of Technology and Design,[],SG,Singapore
Slovak University of Technology in Bratislava,Slovakia,slovak university of technology in bratislava,https://openalex.org/I110757952,Slovak University of Technology in Bratislava,"[""Slovensk\u00e1 Technick\u00e1 Univerzita v Bratislave""]",SK,Slovakia
Sogang University,South Korea,sogang university,https://openalex.org/I148751991,Sogang University,[],KR,South Korea
Soochow University,China,soochow university,https://openalex.org/I3923682,Soochow University,"[""S\u016bzh\u014du D\u00e0xu\u00e9""]",CN,China
Soonchunhyang University,South Korea,soonchunhyang university,https://openalex.org/I24541011,Soonchunhyang University,[],KR,South Korea
Sorbonne University,France,sorbonne university,https://openalex.org/I39804081,Sorbonne University,"[""University of Paris-Sorbonne"", ""Pierre and Marie Curie University""]",FR,France
South Central University for Nationalities,China,south central university for nationalities,https://openalex.org/I174442536,South Central University for Nationalities,"[""Zh\u014dngn\u00e1n m\u00ednz\u00fa D\u00e0xu\u00e9""]",CN,China
South China Agricultural University,China,south china agricultural university,https://openalex.org/I101479585,South China Agricultural University,"[""South China Agricultural College""]",CN,China
South China Normal University,China,south china normal university,https://openalex.org/I187400657,South China Normal University,[],CN,China
South China University of Technology,China,south china university of technology,https://openalex.org/I90610280,South China University of Technology,"[""Hu\u00e1n\u00e1n L\u01d0g\u014dng D\u00e0xu\u00e9""]",CN,China
South Dakota State University,United States,south dakota state university,https://openalex.org/I177156846,South Dakota State University,[],US,United States
Southeast University,China,southeast university,https://openalex.org/I76569877,Southeast University,"[""D\u014dngn\u00e1n D\u00e0xu\u00e9""]",CN,China
"Southern Illinois University, Carbondale",United States,southern illinois university carbondale,https://openalex.org/I110378019,Southern Illinois University Carbondale,"[""SIU Carbondale""]",US,United States
Southern Medical University,China,southern medical university,https://openalex.org/I58200834,Southern Medical University,"[""First Military Medical University""]",CN,China
Southern Methodist University,United States,southern methodist university,https://openalex.org/I178169726,Southern Methodist University,[],US,United States
Southern University of Science and Technology,China,southern university of science and technology,https://openalex.org/I3045169105,Southern University of Science and Technology,"[""South University of Science and Technology of China""]",CN,China
Southwest Jiaotong University,China,southwest jiaotong university,https://openalex.org/I4800084,Southwest Jiaotong University,"[""X\u012bn\u00e1n Ji\u0101ot\u014dng D\u00e0xu\u00e9""]",CN,China
Southwest Petroleum University,China,southwest petroleum university,https://openalex.org/I165745306,Southwest Petroleum University,[],CN,China
Southwest University,China,southwest university,https://openalex.org/I142108993,Southwest University,"[""X\u012bn\u00e1n D\u00e0xu\u00e9""]",CN,China
Southwest University of Science and Technology,China,southwest university of science and technology,https://openalex.org/I1297991670,Southwest University of Science and Technology,"[""X\u012bn\u00e1n K\u0113j\u00ecd\u00e0xu\u00e9""]",CN,China
SRM Institute of Science and Technology,India,srm institute of science and technology,https://openalex.org/I145286018,SRM Institute of Science and Technology,"[""Sri Ramaswamy Memorial University""]",IN,India
Stanford University,United States,stanford university,https://openalex.org/I97018004,Stanford University,"[""Leland Stanford Junior University""]",US,United States
State University of Maringá,Brazil,state university of maringa,https://openalex.org/I123443094,State University of Maringa,[],BR,Brazil
Stellenbosch University,South Africa,stellenbosch university,https://openalex.org/I26092322,Stellenbosch University,"[""Universiteit van Stellenbosch"", ""University of Stellenbosch""]",ZA,South Africa
Stockholm University,Sweden,stockholm university,https://openalex.org/I161593684,Stockholm University,"[""Stockholms universitet""]",SE,Sweden
Süleyman Demirel University,Turkey,suleyman demirel university,https://openalex.org/I175124709,Süleyman Demirel University,"[""S\u00fcleyman Demirel \u00dcniversitesi""]",TR,Turkey
Sultan Qaboos University,Oman,sultan qaboos university,https://openalex.org/I47818738,Sultan Qaboos University,[],OM,Oman
Sun Yat-sen University,China,sun yat-sen university,https://openalex.org/I157773358,Sun Yat-sen University,[],CN,China
Sungkyunkwan University,South Korea,sungkyunkwan university,https://openalex.org/I848706,Sungkyunkwan University,[],KR,South Korea
Swansea University,United Kingdom,swansea university,https://openalex.org/I39586589,Swansea University,"[""Prifysgol Abertawe""]",GB,United Kingdom
Swedish University of Agricultural Sciences,Sweden,swedish university of agricultural sciences,https://openalex.org/I298625061,Swedish University of Agricultural Sciences,"[""Sveriges Lantbruksuniversitet""]",SE,Sweden
Swinburne University of Technology,Australia,swinburne university of technology,https://openalex.org/I57093077,Swinburne University of Technology,"[""Swinburne""]",AU,Australia
Syracuse University,United States,syracuse university,https://openalex.org/I70983195,Syracuse University,[],US,United States
Tabriz University of Medical Sciences,Iran,tabriz university of medical sciences,https://openalex.org/I163205636,Tabriz University of Medical Sciences,[],IR,Iran
Taipei Medical University,Taiwan,taipei medical university,https://openalex.org/I47519274,Taipei Medical University,"[""T\u00e1ib\u011bi Y\u012bxu\u00e9 D\u00e0xu\u00e9"", ""Taipei Medical College""]",TW,Taiwan
Taiyuan University of Technology,China,taiyuan university of technology,https://openalex.org/I9086337,Taiyuan University of Technology,[],CN,China
Tanta University,Egypt,tanta university,https://openalex.org/I21376657,Tanta University,[],EG,Egypt
Tarbiat Modares University,Iran,tarbiat modares university,https://openalex.org/I1516879,Tarbiat Modares University,"[""Professor Training University""]",IR,Iran
Technical University of Denmark,Denmark,technical university of denmark,https://openalex.org/I96673099,Technical University of Denmark,[],DK,Denmark
Technical University of Madrid,Spain,technical university of madrid,https://openalex.org/I88060688,Technical University of Madrid,"[""Polytechnic University of Madrid""]",ES,Spain
Technical University of Munich,Germany,technical university of munich,https://openalex.org/I62916508,Technical University of Munich,[],DE,Germany
Technische Universität Braunschweig,Germany,technische universitat braunschweig,https://openalex.org/I94509681,Technische Universität Braunschweig,[],DE,Germany
Tehran University of Medical Sciences,Iran,tehran university of medical sciences,https://openalex.org/I70640408,Tehran University of Medical Sciences,[],IR,Iran
Tel Aviv University,Israel,tel aviv university,https://openalex.org/I16391192,Tel Aviv University,[],IL,Israel
Temple University,United States,temple university,https://openalex.org/I84392919,Temple University,[],US,United States
