id,issn_l,issn,pissn,eissn,display_name,journal_title,publisher.x,publisher.y
https://openalex.org/V2736778402,1958-5160,null,1958-5160,2260-5029,Synergies Algerie,Synergies Algerie,NA,Groupe d’Etudes et de Recherches pour le Français Langue Internationale (GERFLINT)
https://openalex.org/V2736852014,1988-5105,null,NA,1988-5105,Observar,Observar,NA,Universidad del País Vasco
https://openalex.org/V2737721101,2039-1676,null,2039-1676,NA,Diritto Penale Contemporaneo,Diritto Penale Contemporaneo,NA,SantaMaria Valsecchi Vizzardi - Studio legale associato
https://openalex.org/V2738001505,2421-5503,"[""2421-5503""]",NA,2421-5503,Interfaces: A Journal of Medieval European Literatures,Interfaces: A Journal of Medieval European Literatures,Milano University Press,University of Milan
https://openalex.org/V2738095666,1885-0286,null,NA,1885-0286,Avances en Supervisión Educativa,Avances en Supervisión Educativa,NA,ADIDE Federación
https://openalex.org/V2738146845,2174-0410,null,NA,2174-0410,Pensamiento Matemático,Pensamiento Matemático,NA,Universidad Politécnica de Madrid
https://openalex.org/V2738538469,2285-4916,null,NA,2285-4916,European Quarterly of Political Attitudes and Mentalities,European Quarterly of Political Attitudes and Mentalities,NA,University of Bucharest
https://openalex.org/V2738849737,1224-3086,null,1224-3086,2457-7715,British and American Studies,British and American Studies,NA,Editura Universității de Vest
https://openalex.org/V2739001626,1853-6190,null,NA,1853-6190,Revista Latinoamericana de Metodologia de la Investigacion Social,Revista Latinoamericana de Metodologia de la Investigacion Social,NA,Estudios Sociologicos Editora
https://openalex.org/V2739019102,2281-8138,null,NA,2281-8138,Im@go. A Journal of the Social Imaginary,Im@go. A Journal of the Social Imaginary,NA,"Mimesis Edizioni, Milano"
https://openalex.org/V2739208781,1851-703X,null,1853-550X,1851-703X,"H-industri@: Revista de Historia de la Industria, los Servicios y las Empresas en América Latina",H-Industri@,NA,Universidad de Buenos Aires. Facultad de Ciencias Económicas
https://openalex.org/V4210172303,2302-6820,"[""2302-6820""]",2302-6820,2774-9959,Journal of Basic Medical Veterinary,Journal of Basic Medical Veterinary,Universitas Airlangga,Universitas Airlangga
https://openalex.org/V2764376528,2251-628X,null,2251-628X,2251-631X,Iranian Journal of Applied Animal Science,Iranian Journal of Applied Animal Science,NA,"Islamic Azad University, Rasht Branch"
https://openalex.org/V4210177822,1407-5229,"[""1407-5229""]",1407-5229,NA,G̦eogrāfiski raksti,Ģeogrāfiski Raksti,University of Latvia,University of Latvia
https://openalex.org/V4210190368,1410-2765,"[""2503-1252"", ""1410-2765""]",1410-2765,2503-1252,Jurnal Abdimas,Jurnal Abdimas,Universitas Negeri Semarang,Universitas Negeri Semarang
https://openalex.org/V4210195043,2359-2087,"[""2359-2087""]",NA,2359-2087,Educa,Educa,Educa - Revista Multidisciplinar em Educacao,Universidade Federal de Rondônia
https://openalex.org/V4210204044,2216-1864,"[""2216-1864""]",2216-1864,2216-1872,"Sostenibilidad,Tecnologia y humanismo","Sostenibilidad, Tecnología y Humanismo",Fundacion Tecnologica Antonio de Arevalo - TECNAR,Fundación Universitaria Antonio de Arévalo
https://openalex.org/V4210233758,0125-8273,"[""0125-8273"", ""2286-9433""]",0125-8273,2286-9433,Witsawakamsan Mo. Kho,KKU Engineering Journal,Graduate School Khon Kaen University,Khon Kaen University
https://openalex.org/V4210209522,2636-3623,"[""2735-3818"", ""2636-3623""]",2636-3623,2735-3818,Mağallaẗ ʿulūm Zawī Al-Īḥtīyāgāt Al-H̲āṣah (Print),مجلة علوم ذوي الاحتياجات الخاصة,Egypts Presidential Specialized Council for Education and Scientific Research,"Faculty of Special Needs, Bani-Suef University"
